,Judul,Industri,Tipe,Kategori,Kota,Provinsi,Negara,Gaji_Min,Gaji_Max,Skills,Pengalaman_Bulan,Pendidikan,Deskripsi
2833,Customer Service,Retail,FULL_TIME,Customer Service Representative,Semarang,Jawa Tengah,ID,1000000.0,2500000.0,"Communication Skills, Customer Service, Call Center",Tidak ada,high school,"melayani pertanyaan, saran, juga keluhan konsumen kemudian memberikan saran yang sesuai untuk menyelesaikan persoalan konsumen dalam menggunakan produk atau layanan perusahaan"
2834,Customer Service,Education Management,FULL_TIME,Customer Service Representative,Pasuruan,Jawa Timur,ID,2500000.0,3500000.0,"Problem Solving, Administration, Customer Relationship Management, Call Center, Report Writing, Outbound Call, Customer Service, Help Desk, Customer Support, Communication Skills",12.0,bachelor degree,"Ganesha Operation 
 The King of the Fastest Solution 
 We Are HIRING 
 Posisi: 
 
 Customer Service 
 
 Kualifikasi: 
 
 Warga Negara Indonesia 
 Pendidikan terakhir minimal S1 
 Akuntansi/Manajemen/Administrasi Publik 
 Berpenampilan Menarik, Ramah 
 Berjiwa Melayani Dan Senang Berinteraksi Dengan Siswa 
 Wanita dan belum menikah 
 Menguasai Ms. Office 
 Mampu Berpikir Cepat, tepat dan teliti 
 Memiliki Loyalitas Tinggi Terhadap Pekerjaan, serta integritas 
 Memiliki kemampuan komunikasi yang baik 
 
 Tanggung Jawab: 
 
 Membuat laporan setiap hari 
 Menerima Pendaftaran Siswa 
 Menginputkan data pendaftar 
 Mendata kehadiran pengajar di unit 
 Membuat laporan pendaftar 
 Membuat laporan pendaftar 
 
 Penempatan Pasuruan 
 Batas Pengiriman Lamaran 20 April 2026"
2835,Sr Customer Service,Education Management,FULL_TIME,Customer Service Representative,Jakarta Timur,DKI Jakarta,ID,5000000.0,7000000.0,"Selling, Problem Solving, Communication Skills, Customer Relationship Management, Customer Service",60.0,bachelor degree,"Position Objective: 
 Increase repeat orders, customer retention, and Customer Lifetime Value (LTV). 
 
 --- 
 
 Main Responsibilities 
 1. Customer Database Management 
 * Collect, organize, and update customer data. 
 * Create customer segmentation (new customers, repeat customers, dormant customers, and high spenders). 
 * Manage the customer database using CRM tools 
 
 2. Repeat Order Strategy 
 * Develop and implement follow-up strategies after customer purchases. 
 * Create reorder reminders based on the customer’s purchasing cycle. 
 * Reactivate inactive or previous customers through reactivation campaigns. 
 
 3. Campaign & Loyalty Programs 
 * Design special promotions for repeat customers. 
 * Develop loyalty or membership programs. 
 * Execute broadcast campaigns via WhatsApp, email, and other channels. 
 * Conduct A/B testing on campaigns to improve conversion rates. 
 
 4. Customer Engagement 
 * Follow up on customer satisfaction. 
 * Manage customer feedback and testimonials. 
 * Collaborate with Customer Service and Marketing teams to improve the overall customer experience. 
 
 5. Analysis & Reporting 
 Prepare weekly and monthly reports covering: 
 
 * Repeat Order Rate 
 * Retention Rate 
 * Revenue from repeat customers 
 * Campaign performance 
 Provide insights and data-driven strategic recommendations. 
 
 
 What We’re Looking For 
 
 
 Positive attitude and strong work ethic 
 Good communication skills 
 Fast learner and adaptable 
 Highly motivated and ambitious 
 Customer-oriented mindset 
 Able to work well in a team 
 Detail-oriented and organized 
 Graduates from reputable universities are preferred but candidates with strong skills and experience are also encouraged to apply."
2836,Customer Service Offline,Retail,FULL_TIME,Customer Service Representative,Bandung,Jawa Barat,ID,2300000.0,2600000.0,"Customer Service, Customer Relationship Management, Help Desk, Problem Solving, Communication Skills",12.0,high school,"Tanggung Jawab Utama 
 
 Memberikan informasi produk dan layanan kepada pelanggan melalui komunikasi secara tatap muka 
 Menangani dengan cepat dan efektif keluhan, masalah, dan pertanyaan pelanggan 
 Mengidentifikasi kebutuhan pelanggan dan menawarkan solusi yang sesuai 
 Memastikan keakuratan data pelanggan dan memperbarui catatan secara teratur 
 Membangun hubungan yang kuat dengan pelanggan dan mempertahankan loyalitas mereka 
 Berkontribusi pada inisiatif peningkatan layanan pelanggan 
 Mematuhi prosedur operasional standar dan kebijakan perusahaan 
 
 Keterampilan dan Kualifikasi yang Dibutuhkan 
 
 Pengalaman minimal 2 tahun dalam peran layanan konsumen atau customer service 
 Kemampuan komunikasi lisan dan tulisan yang sangat baik dalam Bahasa Indonesia 
 Kemampuan problem-solving dan berorientasi pada solusi 
 Keterampilan multitasking dan kemampuan bekerja di bawah tekanan 
 Pengetahuan tentang produk, layanan, dan proses bisnis perusahaan 
 Kepribadian yang ramah, proaktif, dan berorientasi pada pelanggan 
 Penguasaan komputer dan keterampilan teknologi dasar"
2837,Customer Service & Sales,Arts and Crafts,FULL_TIME,Customer Service Representative,Jakarta Barat,DKI Jakarta,ID,Tidak ada,Tidak ada,"Microsoft Excel, Customer Service, Administration, Microsoft Office",12.0,high school,"Job Descriptions 
 1. Melakukan tugas administrasi terkait follow up dan data 
 2. Mengurus data-data tamu baru  
 3. Kerja sama dengan tim terkait dengan murid 
 4. Menjual produk ke tamu baru 
 
 Job Requirements 
 6. Pendidikan Minimal SMA/SMK 
 7. Pengalaman kerja minimal 6 bulan di bidang cs 
 8. Mampu merapikan data dan follow up data dengan cepat 
 9. Domisili di daerah sekitar Taman Surya  
 10. maksimal usia 30 tahun  
 11. di utamakan perempuan"
2838,Customer Service & Sales,Arts and Crafts,FULL_TIME,Customer Service Representative,Jakarta Pusat,DKI Jakarta,ID,Tidak ada,Tidak ada,"Administration, Microsoft Office, Customer Service, Microsoft Excel",12.0,high school,"Job Descriptions 
 1. Melakukan tugas administrasi terkait follow up dan data 
 2. Mengurus data-data tamu baru  
 3. Kerja sama dengan tim terkait dengan murid 
 4. Menjual produk ke tamu baru 
 
 Job Requirements 
 6. Pendidikan Minimal SMA/SMK 
 7. Pengalaman kerja minimal 6 bulan di bidang cs 
 8. Mampu merapikan data dan follow up data dengan cepat 
 9. Domisili di daerah sekitar Menteng (Jakarta Pusat) 
 10. maksimal usia 30 tahun  
 11. di utamakan perempuan"
2839,Customer Service Percetakan,Printing,FULL_TIME,Customer Service Representative,Jakarta Barat,DKI Jakarta,ID,Tidak ada,Tidak ada,"Presentation Skills, Teamwork, Sales and Marketing, Business Negotiation, Customer Service, Communication Skills",36.0,professional certificate,"Tugas dan Tanggung Jawab: 
 
 Melayani customer melalui channel online: WhatsApp, Instagram, dan website 
 Closing sales & achieve target penjualan 
 Melakukan upselling dan cross-selling secara efektif 
 Menggali kebutuhan customer untuk memberikan solusi yang sesuai 
 Membangun hubungan yang positif dan komunikatif dengan customer 
 Menangani komplain dengan tenang, empati, dan penyelesaian yang solutif 
 Berkoordinasi dengan tim produksi untuk memastikan pesanan customer berjalan lancar 
 
 
 Kualifikasi: 
 
 Memiliki kemampuan komunikasi yang sangat baik: mampu memahami maksud customer secara akurat dan menggali informasi dengan tepat 
 Passion di bidang layanan pelanggan dan penjualan 
 Pengalaman minimal 1–3 tahun di bidang percetakan, kemasan, atau desain grafis menjadi nilai plus 
 Teliti, detail-oriented, dan mampu mengelola pekerjaan dengan baik meskipun dalam kondisi sibuk (agility) 
 Memiliki sikap ramah, proaktif, dan mampu bekerja secara tim maupun mandiri"
2840,Internship - Customer Service,Electrical/Electronic Manufacturing,FULL_TIME,Customer Service Representative,Jakarta Barat,DKI Jakarta,ID,2000000.0,2500000.0,"Customer Service, Communication Skills, Problem Solving",Tidak ada,high school,"Kualifikasi : 
 - Pendidikan minimal SMA/SMK hingga S1 dari jurusan apa saja 
 - Memiliki kemampuan komunikasi dan interpersonal yang baik 
 - Mampu mengoperasikan aplikasi komputer dasar (Microsoft Office/Google Workspace) 
 - Bersedia belajar dan mampu bekerja dalam tim 
 - Bertanggung jawab, disiplin, dan memiliki perhatian terhadap detail 
 - Memiliki sikap positif dan berorientasi pada layanan pelanggan 
 - Bersedia berkomitmen dengan periode magang yang ditentukan perusahaan"
2841,Customer Service Pusat,"Health, Wellness and Fitness",FULL_TIME,Customer Service Representative,Jakarta Selatan,DKI Jakarta,ID,2500000.0,3500000.0,"Outbound Call, Communication Skills, Customer Service, Customer Support, Help Desk, Call Center, Problem Solving, Customer Relationship Management",12.0,professional certificate,"LOWONGAN KERJA – CUSTOMER SERVICE (CS PUSAT) 
 Kami membuka kesempatan bagi kamu yang ingin berkembang bersama tim profesional sebagai Customer Service (CS Pusat). 
 Penempatan 
 Pusat (Head Office) 
 Tugas & Tanggung Jawab 
 Menjadi kontak utama pelanggan (WhatsApp, telepon, dan chat) 
 Menangani pertanyaan, komplain, dan kebutuhan pelanggan dengan cepat dan profesional 
 Memberikan informasi produk/layanan dengan jelas dan akurat 
 Melakukan follow up customer dan memastikan kepuasan pelanggan 
 Menginput dan mengelola data pelanggan 
 Berkoordinasi dengan tim internal untuk kelancaran operasional"
2843,Magang Customer Service,Furniture,INTERN,Customer Service Representative,Jakarta Barat,DKI Jakarta,ID,1000000.0,1200000.0,"Customer Service, Customer Support, Problem Solving, Communication Skills, Outbound Call, Customer Relationship Management, Call Center, Help Desk",Tidak ada,bachelor degree,"PT Perajin Mebel Mandiri, sebuah perusahaan yang berpusat di Kebon Jeruk, Jakarta Barat, DKI Jakarta, terus berusaha untuk menciptakan lingkungan kerja yang mendukung produktivitas dan kenyamanan. Kami percaya bahwa ruang kerja yang baik adalah kunci untuk meningkatkan fokus, kreativitas, dan kesejahteraan setiap individu. Oleh karena itu, kami menghadirkan produk-produk ergonomis dengan desain inovatif dan kualitas terbaik untuk memenuhi berbagai kebutuhan kantor modern. Dengan semakin berkembangnya bisnis kami, kami membutuhkan bantuan dari para profesional yang berdedikasi tinggi untuk posisi Magang Customer Service. 
 
 Sebagai seorang Magang Customer Service, Anda akan menjadi bagian dari tim yang bertanggung jawab untuk melayani pelanggan dengan penuh dedikasi dan keahlian. Dengan bergabung dalam tim kami, Anda akan memiliki kesempatan untuk membangun keterampilan serta pengalaman yang berharga dalam bidang customer service, yang akan membantu Anda membangun karier di masa depan. 
 
 Kami sedang mencari kandidat yang memenuhi persyaratan berikut: 
 
 - Wanita dengan pendidikan minimal S1. 
 - Memiliki keahlian dalam bidang call center, help desk, customer service, problem solving, customer support, customer relationship management, komunikasi, dan outbound call. 
 - Mampu bekerja dengan baik dalam tim dan memiliki sikap positif serta rasa tanggung jawab tinggi. 
 
 Jika Anda merasa memiliki potensi dan minat untuk berkontribusi dalam pertumbuhan perusahaan kami, kami sangat mengharapkan Anda untuk mengajukan lamaran. Bersama-sama, mari kita ciptakan lingkungan kerja yang lebih baik untuk semua orang!"
